tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,Date
510,50:16.9,58:47.2,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,42812,Customer,1970,0,Apr-21
303,52:30.2,57:33.4,3202,Newport PATH,40.7272235,-74.0337589,3639,Harborside,40.7192517,-74.034234,42601,Customer,1970,0,Apr-21
665,57:21.8,08:27.0,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3203,Hamilton Park,40.72759597,-74.04424731,42625,Subscriber,1962,1,Apr-21
388,58:16.2,04:45.1,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,43380,Customer,1970,0,Apr-21
413,04:22.6,11:16.5,3202,Newport PATH,40.7272235,-74.0337589,3681,Grand St,40.71517768,-74.03768331,48911,Customer,1970,0,Apr-21
366,09:24.3,15:30.8,3192,Liberty Light Rail,40.7112423,-74.0557013,3186,Grove St PATH,40.71958612,-74.04311746,40488,Customer,1970,0,Apr-21
338,09:24.5,15:02.6,3275,Columbus Drive,40.7183552,-74.03891444,3199,Newport Pkwy,40.7287448,-74.0321082,46079,Customer,1970,0,Apr-21
710,10:17.3,22:08.2,3678,Fairmount Ave,40.72572614,-74.07195926,3186,Grove St PATH,40.71958612,-74.04311746,44380,Customer,1970,0,Apr-21
287,11:56.2,16:43.2,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,42625,Subscriber,1962,1,Apr-21
217,14:27.5,18:04.5,3203,Hamilton Park,40.72759597,-74.04424731,3273,Manila & 1st,40.72165072,-74.04288411,42293,Customer,1970,0,Apr-21
372,16:47.7,23:00.5,3185,City Hall,40.7177325,-74.043845,3203,Hamilton Park,40.72759597,-74.04424731,45354,Subscriber,1953,2,Apr-21
283,19:00.5,23:43.5,3681,Grand St,40.71517768,-74.03768331,3186,Grove St PATH,40.71958612,-74.04311746,48911,Customer,1970,0,Apr-21
660,20:37.6,31:38.2,3194,McGinley Square,40.72533993,-74.06762213,3211,Newark Ave,40.72152515,-74.04630454,45713,Customer,1970,0,Apr-21
470,23:57.1,31:47.3,3220,5 Corners Library,40.73496102,-74.05950308,3209,Brunswick St,40.7241765,-74.0506564,32579,Customer,1970,0,Apr-21
220,24:01.0,27:41.1,3187,Warren St,40.7211236,-74.03805095,3186,Grove St PATH,40.71958612,-74.04311746,45138,Customer,1970,0,Apr-21
112,24:37.1,26:29.5,3639,Harborside,40.7192517,-74.034234,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,39968,Customer,1970,0,Apr-21
631,24:51.3,35:23.2,3209,Brunswick St,40.7241765,-74.0506564,3681,Grand St,40.71517768,-74.03768331,40697,Customer,1970,0,Apr-21
237,38:25.8,42:22.9,3269,Brunswick & 6th,40.72601173,-74.05038893,3272,Jersey & 3rd,40.72333159,-74.04595256,42837,Subscriber,1991,1,Apr-21
2058,39:18.0,13:36.7,3195,Sip Ave,40.7308971,-74.06391263,3202,Newport PATH,40.7272235,-74.0337589,33959,Customer,1970,0,Apr-21
410,41:25.9,48:16.9,3193,Lincoln Park,40.7246051,-74.07840595,3280,Astor Place,40.7192822,-74.07126188,47255,Subscriber,1960,1,Apr-21
112,44:44.4,46:36.7,3184,Paulus Hook,40.7141454,-74.0335519,3184,Paulus Hook,40.7141454,-74.0335519,30009,Customer,1970,0,Apr-21
734,46:58.5,59:12.5,3210,Pershing Field,40.74267714,-74.05178863,3211,Newark Ave,40.72152515,-74.04630454,42575,Customer,1970,0,Apr-21
731,47:43.2,59:54.8,3678,Fairmount Ave,40.72572614,-74.07195926,3639,Harborside,40.7192517,-74.034234,43139,Customer,1970,0,Apr-21
495,53:06.2,01:22.1,3184,Paulus Hook,40.7141454,-74.0335519,3202,Newport PATH,40.7272235,-74.0337589,28877,Customer,1970,0,Apr-21
724,54:12.4,06:16.9,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,44370,Customer,1970,0,Apr-21
563,57:12.9,06:36.0,3192,Liberty Light Rail,40.7112423,-74.0557013,3681,Grand St,40.71517768,-74.03768331,45352,Customer,1970,0,Apr-21
193,03:17.6,06:31.0,3187,Warren St,40.7211236,-74.03805095,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,38641,Customer,1970,0,Apr-21
4201,07:06.7,17:07.8,3211,Newark Ave,40.72152515,-74.04630454,3211,Newark Ave,40.72152515,-74.04630454,45713,Customer,1970,0,Apr-21
286,07:38.5,12:25.4,3269,Brunswick & 6th,40.72601173,-74.05038893,3273,Manila & 1st,40.72165072,-74.04288411,39329,Customer,1970,0,Apr-21
964,08:42.4,24:47.1,3186,Grove St PATH,40.71958612,-74.04311746,3185,City Hall,40.7177325,-74.043845,32831,Subscriber,1988,1,Apr-21
324,11:56.2,17:20.6,3639,Harborside,40.7192517,-74.034234,3639,Harborside,40.7192517,-74.034234,47256,Customer,1970,0,Apr-21
238,24:06.8,28:05.5,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,45278,Customer,1970,0,Apr-21
297,26:40.7,31:38.5,3639,Harborside,40.7192517,-74.034234,3639,Harborside,40.7192517,-74.034234,39598,Customer,1970,0,Apr-21
